id;start_stop;end_stop;Bus_lines;start_y;start_x;end_y;end_x
1;La Chasse;Louis Hap;36;50.83106540;4.39003026;50.83464974;4.38813159
2;Louis Hap;Leman;36;50.83464273;4.38811473;50.83724077;4.38677455
3;Leman;Jourdan;80;50.83683136;4.38740819;50.83623034;4.37962550
4;La chasse;Fetis;34;50.82985851;4.39107543;50.83305716;4.38624690
5;Fetis;Etanges Vijvers;34;50.83303678;4.38626727;50.83584833;4.37993110
6;Louis Hap;La Chasse;36;50.83440181;4.38797865;50.83104018;4.38981227
7;Lemqn;Louis Hap;36;50.83712168;4.38658306;50.83448330;4.38797865
8;Etangs;Leman;80;50.83605207;4.38082753;50.83672439;4.38636914
9;Etangs;Fetis;34;50.83548161;4.38066455;50.83333220;4.38562550
10;Fetis;La Chasse;34;50.83328127;4.38565606;50.83080588;4.38944554
11;La Chasse;Buedts;34;50.83078041;4.38944045;50.82819297;4.39363740
12;Buedts;Arsenal;34;50.82819297;4.39365777;50.82644085;4.39661194
13;Arsenal;Buedts;34;50.82585002;4.39781398;50.82845783;4.39351516
14;Buedts;La Chasse;34;50.82851895;4.39349479;50.82996547;4.39111108
15;Etterbeek gare;Delporte;95;50.82182115;4.38900497;50.82430672;4.38591328
16;Delporter;Rodin;95;50.82432200;4.38591837;50.82744934;4.38198628
17;Rodin;Gemoir;95;50.82745189;4.38198883;50.82923457;4.37977830
18;Germoir;Blyckaerts;95;50.82922693;4.37977320;50.83310809;4.37490393
19;Blyckaerts;Germoir;95;50.83304697;4.37470019;50.82997056;4.37857116
20;Germoir;Rodin;95;50.82996038;4.37858135;50.82738312;4.38178000
21;Rodin;Delporte;95;50.82736275;4.38182074;50.82426597;4.38571209
22;Delporte;Etterbeek Gare;95;50.82425579;4.38569172;50.82174984;4.38880887
23;Blyckaerts;Varia;60;50.83263950;4.37486827;50.83410130;4.37779188
24;Varia;Etangs;60, ?;50.83408475;4.37779697;50.83603042;4.38083263
25;Etange;Varia;60, ?;50.83442855;4.37828339;50.83591582;4.38059579
26;Varia;Blyckaerts;60, ?;50.83442855;4.37829103;50.83302278;4.37541836
27;Malibran;Blayckaerts;38, 60;50.83048118;4.37344722;50.83264587;4.37486318
28;Blyckaerts;Malibran;38, 60;50.83300495;4.37538844;50.83095231;4.37356500
29;Malibran;Flagey;38, 60;50.83095741;4.37355991;50.82827319;4.37185363
30;Flagey;Malibran;38, 60;50.82813567;4.37194021;50.83048372;4.37344786
31;Flagey;Wery;59;50.82831649;4.37300982;50.82935554;4.37620338
32;Wery;Natation;59;50.82936318;4.37626450;50.83297948;4.37824073
33;Natation;Jourdan;59;50.83298967;4.37826110;50.83620869;4.37964651
34;Jourdan;Natation;59;50.83620869;4.37950389;50.83322396;4.37830185
35;Natation;Wery;59;50.83323415;4.37828148;50.82946505;4.37617282
36;Wery;Flagey;59;50.82943872;4.37616068;50.82839145;4.37298202
37;Flagey;Musee D'Ixelles;71;50.82818633;4.37122352;50.82975354;4.36984437
38;Musee D'Ixelles;Fernand Cocq;71;50.82979042;4.36984437;50.83318296;4.36658458
39;Fernand Cocq;Quart St. Boniface;71;50.83321246;4.36656983;50.83538074;4.36384104
40;Quart St. Boniface;Porte De Namur;71;50.83541024;4.36384104;50.83809478;4.36207102
41;Porte De Namur;Quart St. Boniface;71;50.83774078;4.36195301;50.83510049;4.36392954
42;Quart St. Boniface;Fernand Cocq;71;50.83512999;4.36392954;50.83315346;4.36639282
43;Fernand Cocq;Musee D'Ixelles;71;50.83312765;4.36641126;50.83010386;4.36940555
44;Musee D'Ixelles;Flagey;71;50.83008911;4.36939080;50.82820108;4.37105758
45;Blyckaerts;Idalie;38, 95;50.83312765;4.37490369;50.83633582;4.37100226
46;Idalie;Blyckaerts;38, 95;50.83523094;4.37203247;50.83301841;4.37468751
47;Idalie;Museum;34, 80;50.83586888;4.37232379;50.83572138;4.37702173
48;Museum;Etangs;34, 80;50.83571401;4.37702173;50.83551488;4.38064290
49;Etangs;Museum;34, 80;50.83584676;4.37988327;50.83587626;4.37494195
50;Museum;Idalie;34, 80;50.83588363;4.37496407;50.83635564;4.37107002
51;Idalie;Luxembourg;34, 38, 80;50.83633351;4.37098889;50.83828792;4.37293592
52;Luxembourg;Idalie;34, 38, 80;50.83530284;4.37196425;50.83885764;4.37308527
53;Luxembourg;Science;34, 38, 64, 80;50.83931490;4.37214125;50.83993441;4.36928709
54;Science;Luxembourg;34, 38, 64, 80;50.83986803;4.36922071;50.83925590;4.37212650
55;Science;Troon;34, 38, 64, 80;50.83996391;4.36927234;50.84062767;4.36596092
56;Troon;Science;34, 38, 64, 80;50.84056129;4.36595355;50.83988278;4.36919121
57;Troon;Porte de Namur;34, 54, 64, 71, 80;50.83839301;4.36197099;50.84050229;4.36587979
58;Porte de Namur;Troon;34, 54, 64, 71, 80;50.84064979;4.36577654;50.83882077;4.36201524
59;Thys;Etterbeek Gare;95;50.82182507;4.38902214;50.81739874;4.39263234
60;Etterbeek Gare;Thys;95;50.81793643;4.39241150;50.82171945;4.38883971
61;Thys;Cimetiere d'Ixelles;95;50.81790762;4.39240190;50.81609292;4.39074082
62;Cimetiere d'Ixelles;Thys;95;50.81587209;4.39062560;50.81740834;4.39263234
63;Cimetiere d'Ixelles;ULB;71;50.81609292;4.39073122;50.81399017;4.38461501
64;ULB;Cimetiere d'Ixelles;71;50.81381734;4.38464381;50.81587209;4.39060640
65;ULB;Jean-Johanna;71;50.81397577;4.38462941;50.81526719;4.38380367
66;Jeanne Johanna;ULB;71;50.81515677;4.38365965;50.81381254;4.38462941
67;Jeanne Johanna;Buyl;71;50.81526238;4.38380367;50.81881497;4.37896447
68;Buyl;Jeanne Johanna;71;50.81772999;4.38009746;50.81516637;4.38365965
69;Buyl;Geo Bernier;71;50.81884154;4.37895641;50.82083834;4.37668453
71;Geo Bernier;Buyl;71;50.82022707;4.37701054;50.81774126;4.38006688
71;Geo Bernier;Etangs;71;50.82099116;4.37656228;50.82362979;4.37409684
72;Etangs;Geo Bernier;71;50.82419012;4.37333276;50.82024745;4.37699017
73;Etangs;Flagey;71;50.82364507;4.37411212;50.82720060;4.37216626
74;Flagey;Etangs;71;50.82715985;4.37200325;50.82421559;4.37331748